locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
144,1-631-3991,Long Day Care,Lighthouse Child Care Centre,4 Greenmeadows Drive,PORT MACQUARIE,NSW,2444,-31.46187,152.89557,0xE6100000010CBC0512143F763FC0E9263108AC1C6340
145,1-1P3719,Long Day Care,Mount Kembla Children's Centre,4 Benjamin Rd,MOUNT KEMBLA,NSW,2526,-34.43153,150.817,0xE6100000010CAC1C5A643B3741C0A01A2FDD24DA6240
146,1-1P4OGJ,Long Day Care,Mosman Kinderland,15 Lang St,MOSMAN,NSW,2088,-33.82375,151.23417,0xE6100000010C8CDB68006FE940C0736891ED7CE76240
147,1-1Q0HAH,Long Day Care,Alpha St Preschool,1 Alpha St,BLACKTOWN,NSW,2148,-33.7714,150.9059,0xE6100000010C3411363CBDE240C0A245B6F3FDDC6240
148,1-D4ZXYX,Long Day Care,Goodstart Early Learning Dubbo - Cobra Street,175 - 177 Cobra St,DUBBO,NSW,2830,-32.25569,148.61694,0xE6100000010C29CB10C7BA2040C039B4C876BE936240
149,1-1V162G,Long Day Care,Berowra Cottage Childrens Centre,979 Pacific Hwy,BEROWRA,NSW,2081,-33.62537,151.14896,0xE6100000010C8E75711B0DD040C054E3A59BC4E46240
150,1-1VCCG2,Long Day Care,Bottleforest Long Day Care Centre,38 Engadine Ave,ENGADINE,NSW,2233,-34.06926,151.00858,0xE6100000010C70CE88D2DE0841C03F355EBA49E06240
151,1-D5NY0D,Long Day Care,Goodstart Early Learning Glenwood - Forman Avenue,85 Forman Ave,GLENWOOD,NSW,2768,-33.73216,150.93686,0xE6100000010CCB10C7BAB8DD40C0448B6CE7FBDD6240
152,1-1WPT8I,Long Day Care,Mullaway Pied Piper PreSchool,22 Mullaway Dr,MULLAWAY,NSW,2456,-30.07731,153.19566,0xE6100000010C16FBCBEEC9133EC083C0CAA145266340
153,1-D6PJRU,Long Day Care,Goodstart Early Learning Bankstown,22 East Tce,BANKSTOWN,NSW,2200,-33.9197,151.03859,0xE6100000010CCB10C7BAB8F540C06891ED7C3FE16240
154,1-1AHN6O,Long Day Care,Boronia Hall Preschool,28 Sloane Cres,MANLY VALE,NSW,2093,-33.77973,151.26424,0xE6100000010C7958A835CDE340C09CC420B072E86240
155,1-26IF8Y,Long Day Care,Rosey Pot Kindergarten,52 Tasman Rd,AVALON,NSW,2107,-33.62872,151.33554,0xE6100000010C637FD93D79D040C0986E1283C0EA6240
156,1-285166,Long Day Care,Pennant Hills Preschool Kindergarten,1 Fulbourne Ave,PENNANT HILLS,NSW,2120,-33.7344,151.07515,0xE6100000010C5917B7D100DE40C06666666666E26240
157,1-D3B3GL,Long Day Care,Goodstart Early Learning Dubbo - Baird Drive,152 Baird Dr,DUBBO,NSW,2830,-32.25139,148.57794,0xE6100000010C711B0DE02D2040C0D122DBF97E926240
158,2-1AXZL8,Long Day Care,Little Einstein's Early Learning Centre- Leumeah 2,78 Leumeah Road,LEUMEAH,NSW,2560,-34.05195,150.83775,0xE6100000010CCA54C1A8A40641C0894160E5D0DA6240
159,1-1ANTSK,Long Day Care,Playhouse Pre-School Empire Bay,433 Wards Hill Rd,EMPIRE BAY,NSW,2257,-33.5081,151.37422,0xE6100000010C7E8CB96B09C140C08716D9CEF7EB6240
160,1-2BX2Q5,Long Day Care,Montessori By-The-Bay,29 Culver St,MONTEREY,NSW,2217,-33.97832,151.14723,0xE6100000010CA1D634EF38FD40C062105839B4E46240
161,1-2C4BKR,Long Day Care,Blossoms,33 Chapmans Rd,TUNCURRY,NSW,2428,-32.15547,152.48316,0xE6100000010C96438B6CE71340C0FA7E6ABC740F6340
162,1-39AVCI,Long Day Care,Rosehill Montessori Kindergarten,44-46 Weston St,ROSEHILL,NSW,2142,-33.82273,151.01664,0xE6100000010CA835CD3B4EE940C0068195438BE06240
163,1-9B3DCD,Long Day Care,Dee Why School of Early Learning,63 Lynwood Ave,DEE WHY,NSW,2099,-33.74481,151.28491,0xE6100000010CC8073D9B55DF40C085EB51B81EE96240
164,1-2FWGDK,Long Day Care,Early Achievers Child Care Centre - Glebe,163 Bridge Rd,GLEBE,NSW,2037,-33.88004,151.18552,0xE6100000010C713D0AD7A3F040C0CBA145B6F3E56240
165,1-D5J0R7,Long Day Care,Goodstart Early Learning Glenfield Park,1 Yirribin Pl,WAGGA WAGGA,NSW,2650,-35.10817205,147.3598366,0xE6100000010CAEB6627FD98D41C0EC51B81E856B6240
166,1-D7F2QK,Long Day Care,Goodstart Early Learning Yass,13 Crago St,YASS,NSW,2582,-34.84548,148.91139,0xE6100000010C4E621058396C41C0FED478E9269D6240
167,1-2IJXTY,Long Day Care,Milestones Early Learning Centre (CBD),1-3 Bligh Street,TAMWORTH,NSW,2340,-31.08158,150.92284,0xE6100000010C865AD3BCE3143FC0A8C64B3789DD6240
168,1-GDJ9F1,Long Day Care,Angels of the Bay - Rosebery,34-36 Dalmeny Ave,ROSEBERY,NSW,2018,-33.91923,151.2069,0xE6100000010CD93D7958A8F540C0B4C876BE9FE66240
